,lat,lon,name
0,49.2457903,-122.8916363,Pho 99
1,49.1674933,-122.6674453,Boston Pizza
2,49.2634241,-123.1173128,Cactus Club Cafe
3,49.2257668,-122.9968006,Nando's
4,49.1694686,-122.6657545,The Old Spaghetti Factory
5,49.274321,-123.1237748,Tasty Indian Bistro
6,49.1468811,-122.8910518,Cactus Club Cafe
7,49.1711386,-123.1360519,Boston Pizza
8,49.1343339,-123.0651422,The Old Spaghetti Factory
9,49.1717889,-123.1359234,White Spot
10,49.2305371,-123.007442,Nando's
11,49.1863895,-122.8474565,Boston Pizza
12,49.035414,-122.2663773,Cactus Club Cafe
13,49.2764454,-123.1195159,Tacofino
14,49.1784334,-123.121667,Nando's
15,49.1710207,-123.139394,Mui Garden
16,49.2637838,-123.1393347,Bob Likes Thai Food
17,49.3244571,-123.1076419,C-Lovers Fish & Chips
18,49.3240623,-123.1087802,White Spot
19,49.3556326,-123.1059033,Sushi Mori
20,49.2334631,-123.034937,Peaceful Restaurant
21,49.2340779,-123.0353715,The Captain's Boil
22,49.12737,-122.8452404,Denny's
23,49.253994,-123.2353546,Togo Sushi
24,49.2230985,-122.9821688,Denny's
25,49.2204967,-122.9757219,Triple O's
26,49.255495,-122.7466809,White Spot
27,49.226799,-122.9937567,Chongqing
28,49.2694998,-123.1077015,The Flying Pig
29,49.2293878,-123.0904982,Pizza Hut
30,49.2268102,-123.0040761,Boston Pizza
31,49.226354,-123.0039637,Neptune Wonton Noodle
32,49.226408,-123.0036228,Freshii
33,49.2632255,-123.1333895,Denny's
34,49.2503562,-123.1007457,Sun Sui Wah Seafood Restaurant
35,49.2300329,-123.003695,Dinesty Dumpling House
36,49.2317641,-123.0091627,Pizza Hut
37,49.2717708,-123.0697537,Donair Town
38,49.0910725,-122.6074795,Panago Pizza
39,49.2761259,-123.1206022,Wild Tale
40,49.218154,-122.6436783,White Spot
41,49.1980237,-122.9785339,Pizza Hut
42,49.2798153,-123.1236381,Freshii
43,49.0458177,-122.7972582,Sushi Mori
44,49.172236,-123.1358351,Dinesty Dumpling House
45,49.222971,-122.9841291,White Spot
46,49.2290001,-123.000461,Cactus Club Cafe
47,49.227687,-123.0904914,Deer Garden Signatures
48,49.2493978,-123.0739174,Icy Bar
49,49.2376572,-123.1556393,White Spot
50,49.263672,-123.20716,Burgoo
51,49.2637428,-123.2104101,Pizza Hut
52,49.0348989,-122.8008819,Lee Yuen Seafood Restaurant
53,49.0375485,-122.8009329,Boston Pizza
54,49.0463697,-122.8016813,IHOP
55,49.0452315,-122.7786492,Browns Socialhouse
56,49.0472452,-122.7839835,Noodlebox
57,49.044654,-122.7772023,Big Star Sandwich Co.
58,49.0451866,-122.7781347,Freshii
59,49.0292578,-122.8005183,Pho 777 Vietnamese Restaurant
60,49.0307761,-122.7993521,Silver Dragon Restaurant
61,49.2188492,-122.9645805,Deer Garden Signatures
62,49.2818319,-123.1234128,Boston Pizza
63,49.226149,-122.9917461,Tian Shi Fu Restaurant
64,49.10485,-122.8028182,Chopped Leaf
65,49.1856947,-122.801637,Nando's
66,49.2799326,-123.1302522,Banana Leaf
67,49.1037213,-122.7281926,Ricky's
68,49.1709535,-123.1824399,Pizza Hut
69,49.2838437,-123.1053674,The Old Spaghetti Factory
70,49.2540725,-123.2359295,Virtuous Pie
71,49.1123933,-122.6772604,Wings
72,49.2829671,-123.1105765,La Taqueria
73,49.0326388,-122.801449,White Spot
74,49.2804382,-123.1181035,Tractor
75,49.3122034,-123.0789593,Buddha-full
76,49.2786259,-123.1160142,Original Joe's
77,49.2575621,-123.1148455,Vij's
78,49.285769,-123.1247049,Neptune Chinese Kitchen
79,49.2627174,-123.1000189,Freshii
80,49.0904674,-123.0790855,Ricky's
81,49.3210825,-123.0956321,Cora
82,49.1637059,-122.6604812,Denny's
83,49.2681152,-123.1595834,Peaceful Restaurant
84,49.2681518,-123.1463206,Pizza Hut
85,49.2680714,-123.1568116,Burgoo
86,49.268201,-123.1486188,Freshii
87,49.2681756,-123.1481478,Tractor
88,49.2664116,-123.0140254,White Spot
89,49.189306,-122.8026622,Freshii
90,49.0906097,-123.0802207,Chopped Leaf
91,49.0583832,-122.3780427,Famoso Neapolitan Pizzeria
92,49.0584965,-122.3808116,Milestones
93,49.0582246,-122.3808805,The Canadian Brewhouse & Grill
94,49.278102,-122.9099445,The Chopped Leaf
95,49.2781344,-122.9101527,Togo Sushi
96,49.2827611,-123.1096481,Nuba
97,49.0562149,-122.380711,Denny's
98,49.2492559,-122.8670655,Pizza Hut
99,49.285504,-123.118815,Cactus Club Cafe
100,49.2874308,-123.1149042,Hapa Izakaya
101,49.2886227,-123.1400296,Shizen Ya
102,49.1326737,-122.3388665,Fatburger
103,49.132705,-122.3390044,Pizza Hut
